country,id,week.year,revenue,units
KR,702234,3.2019,"808,08",1
KR,702234,6.2019,"1606,80",2
KR,3618438,8.2019,"803,40",1
KR,3618438,9.2019,"803,40",1
KR,3618438,9.2019,"803,40",1
KR,3618438,13.2019,"2376,42",3
KR,3618438,12.2019,"1198,74",1
KR,702234,16.2019,"797,82",1
KR,3618438,18.2019,"399,54",1
KR,3618438,16.2019,"1596,00",2
KR,3618438,17.2019,"1206,78",1
KR,3618438,18.2019,"399,54",1
KR,3618438,21.2019,"1594,98",2
KR,3618438,19.2019,"1206,78",1
KR,3618438,23.2019,"393,36",1
KR,3618438,24.2019,"790,80",1
KR,3618438,26.2019,"1570,08",2
KR,3618438,23.2019,"1188,12",1
KR,702234,27.2019,"1570,08",2
KR,2418516,29.2019,"785,04",1
KR,3618438,30.2019,"773,94",1
KR,4375152,27.2019,"1570,08",2
KR,3618438,32.2019,"773,94",1
KR,4375152,32.2019,"773,94",1
KR,702234,37.2019,"767,46",1
KR,717612,37.2019,"462,78",1
KR,720708,40.2019,"767,40",1
KR,720708,37.2019,"497,46",1
KR,808026,36.2019,"767,46",1
KR,2808828,38.2019,"2321,94",2
KR,4375152,36.2019,"767,46",1
KR,4375152,37.2019,"767,46",1
KR,4375152,38.2019,"772,62",1
KR,4375152,37.2019,"462,78",1
KR,720708,40.2019,"497,34",1
KR,4375152,42.2019,"776,76",1
KR,720708,46.2019,"1167,18",1
KR,4375152,45.2019,"776,76",1
KR,4375152,50.2019,"773,58",1
PK,2727648,22.2019,"124,80",1
MM,3012666,6.2019,"379,50",1
MM,3953250,7.2019,"406,56",1
MM,3552906,13.2019,"406,56",1
MM,3601230,10.2019,"406,56",1
MM,3953250,13.2019,"406,56",1
MM,680718,18.2019,"406,56",1
MM,3601230,16.2019,"325,20",1
MM,920994,21.2019,"406,56",1
MM,3953250,23.2019,"406,56",1
MM,680718,29.2019,"813,24",2
MM,4240458,28.2019,"325,20",1
MM,1035606,31.2019,"406,56",1
ID,2890236,6.2019,"644,76",1
ID,2890236,7.2019,"644,76",1
ID,2890236,6.2019,"1214,22",1
ID,2890236,8.2019,"3611,70",3
ID,2890236,9.2019,"1203,90",1
ID,2890506,7.2019,"396,60",1
ID,2890836,9.2019,"1216,98",1
ID,2890842,6.2019,"6058,20",5
ID,2890842,8.2019,"1205,76",1
ID,2891706,5.2019,"1211,64",1
ID,2891706,6.2019,"2423,28",2
ID,2891706,7.2019,"1211,64",1
ID,2891706,8.2019,"2411,64",2
ID,2892888,6.2019,"2454,84",2
ID,2894364,6.2019,"644,52",1
ID,2894784,8.2019,"1195,98",1
ID,2894784,9.2019,"2383,68",2
ID,2894808,8.2019,"644,82",1
ID,2894946,7.2019,"1223,82",1
ID,2895240,7.2019,"1223,82",1
ID,2895240,8.2019,"4853,52",4
ID,2895240,9.2019,"2426,76",2
ID,2895648,7.2019,"1226,76",1
ID,2895774,8.2019,"2224,86",1
ID,2895774,7.2019,"644,52",1
ID,2895774,7.2019,"1211,64",1
ID,2895774,7.2019,"2423,28",2
ID,2896422,9.2019,"1213,38",1
ID,2896524,7.2019,"623,52",1
ID,2896680,9.2019,"1203,90",1
ID,2897154,7.2019,"1205,76",1
ID,2897274,6.2019,"396,60",1
ID,2897274,8.2019,"396,60",1
ID,2897274,9.2019,"2776,20",7
ID,2897274,6.2019,"1289,64",2
ID,2897274,7.2019,"644,82",1
ID,2897274,8.2019,"1934,46",3
ID,2897274,9.2019,"644,82",1
ID,2897274,5.2019,"276,96",1
ID,2897274,6.2019,"276,96",1
ID,2897274,7.2019,"553,92",2
ID,2897310,5.2019,"1188,72",1
ID,2897310,6.2019,"1188,72",1
ID,2897310,9.2019,"4754,88",4
ID,2897310,7.2019,"1188,72",1
ID,2897610,6.2019,"6580,80",3
ID,2898054,8.2019,"2432,76",2
ID,2898102,6.2019,"2240,46",1
ID,2898312,7.2019,"1214,22",1
ID,2898804,9.2019,"2238,84",1
ID,2898804,8.2019,"3640,14",3
ID,2899608,7.2019,"2447,76",2
ID,2899662,9.2019,"648,30",1
ID,2899902,8.2019,"3640,14",3
ID,2899938,6.2019,"12238,20",10
ID,2899992,6.2019,"1200,84",1
ID,2899992,8.2019,"1200,84",1
ID,2900304,9.2019,"1296,60",2
ID,2900304,6.2019,"3809,88",2
ID,2900304,9.2019,"1216,98",1
ID,2900712,8.2019,"396,60",1
ID,2900868,6.2019,"648,30",1
ID,2901294,7.2019,"2258,16",1
ID,2901336,8.2019,"396,06",1
ID,2901336,8.2019,"3117,60",5
ID,2901558,6.2019,"1227,42",1
ID,2901558,7.2019,"1227,42",1
ID,2901960,9.2019,"648,30",1
ID,2902068,9.2019,"2432,76",2
ID,2902116,5.2019,"9713,76",8
ID,2902116,9.2019,"6019,62",5
ID,2903088,7.2019,"626,16",1
ID,2903292,8.2019,"2238,84",1
ID,2903478,9.2019,"277,02",1
ID,2904324,6.2019,"2447,64",2
ID,2904624,6.2019,"612,24",1
ID,2904624,6.2019,"1188,72",1
ID,2904624,9.2019,"1188,72",1
ID,2904942,8.2019,"3911,46",1
ID,2905026,9.2019,"5714,82",3
ID,2905032,6.2019,"1226,76",1
ID,2905398,7.2019,"3877,98",1
ID,2905758,5.2019,"1194,78",1
ID,2905758,6.2019,"3584,34",3
ID,2905758,7.2019,"11948,82",10
ID,2905758,8.2019,"3586,38",3
ID,2906172,6.2019,"1223,82",1
ID,2906982,6.2019,"2447,76",2
ID,2907756,9.2019,"1213,26",1
ID,2907762,8.2019,"1216,38",1
ID,2908218,6.2019,"2258,16",1
ID,2908218,6.2019,"2447,64",2
ID,2908290,7.2019,"1223,82",1
ID,2908482,7.2019,"2263,56",1
ID,2908482,9.2019,"1091,52",1
ID,2908512,9.2019,"630,00",1
ID,2908512,9.2019,"3600,00",3
ID,2908674,7.2019,"1223,82",1
ID,2908704,6.2019,"1227,42",1
ID,2908704,7.2019,"2454,84",2
ID,2908788,6.2019,"1091,52",1
ID,2908800,9.2019,"2426,76",2
ID,2908902,7.2019,"276,96",1
ID,2908962,8.2019,"2434,08",2
ID,2909364,6.2019,"397,14",1
ID,2909406,5.2019,"1223,82",1
ID,2909406,6.2019,"2447,76",2
ID,2909406,7.2019,"4853,52",4
ID,2909406,9.2019,"2426,76",2
ID,2909502,9.2019,"648,30",1
ID,2909502,9.2019,"1216,38",1
ID,2909952,9.2019,"396,60",1
ID,2909952,9.2019,"831,06",3
ID,2910906,9.2019,"3650,94",3
ID,2911104,9.2019,"1216,98",1
ID,2911206,5.2019,"644,82",1
ID,2911206,6.2019,"644,82",1
ID,2911218,9.2019,"1062,24",1
ID,2911218,7.2019,"8363,46",7
ID,2911218,8.2019,"2389,56",2
ID,2911260,7.2019,"3128,40",5
ID,2911710,6.2019,"7805,64",2
ID,2911932,7.2019,"396,06",1
ID,2911932,8.2019,"612,24",1
ID,2911932,8.2019,"1188,72",1
ID,2912052,9.2019,"1200,00",1
ID,2912052,6.2019,"1200,00",1
ID,2912052,8.2019,"1216,38",1
ID,2912052,9.2019,"1200,00",1
ID,2912052,6.2019,"1200,00",1
ID,2912682,8.2019,"627,24",1
ID,2912748,6.2019,"2447,64",2
ID,2913246,9.2019,"1213,38",1
ID,2913246,6.2019,"1223,82",1
ID,2913246,7.2019,"1223,82",1
ID,2913246,8.2019,"1213,38",1
ID,2913282,7.2019,"648,30",1
ID,2913534,8.2019,"2258,16",1
ID,2913828,8.2019,"644,76",1
ID,2913828,8.2019,"1203,90",1
ID,2913894,7.2019,"648,30",1
ID,2913996,8.2019,"1227,42",1
ID,2914134,9.2019,"644,82",1
ID,2914674,6.2019,"1223,82",1
ID,2915136,9.2019,"1198,44",1
ID,2915208,7.2019,"1226,76",1
ID,2915610,6.2019,"552,48",2
ID,2915610,7.2019,"276,24",1
ID,2915610,8.2019,"276,24",1
ID,2915610,9.2019,"276,24",1
ID,2915610,6.2019,"1211,64",1
ID,2915610,7.2019,"2423,28",2
ID,2915610,8.2019,"6029,04",5
ID,2915610,9.2019,"1205,76",1
ID,2915628,7.2019,"7921,32",20
ID,2915952,7.2019,"399,36",1
ID,2916720,8.2019,"1183,32",3
ID,2916720,9.2019,"396,60",1
ID,2917068,8.2019,"5158,56",8
ID,2917068,7.2019,"1223,82",1
ID,2917152,6.2019,"1223,82",1
ID,2917152,8.2019,"12133,80",10
ID,2917398,6.2019,"1227,42",1
ID,2917416,9.2019,"2433,96",2
ID,2917458,7.2019,"7343,04",6
ID,2917458,8.2019,"1213,38",1
ID,2917458,9.2019,"4853,52",4
ID,2917638,6.2019,"3671,58",3
ID,2918526,7.2019,"7755,96",2
ID,2918526,6.2019,"1223,82",1
ID,2918988,6.2019,"1214,22",1
ID,2919036,8.2019,"1944,90",3
ID,2919036,5.2019,"631,26",1
ID,2919036,8.2019,"277,38",1
ID,2919036,6.2019,"1227,42",1
ID,2919036,7.2019,"4899,24",4
ID,2919246,7.2019,"1214,22",1
ID,2919420,7.2019,"1226,76",1
ID,2919420,8.2019,"1216,38",1
ID,2919510,8.2019,"644,82",1
ID,2919510,6.2019,"1200,84",1
ID,2919510,7.2019,"3602,64",3
ID,2919510,8.2019,"3602,52",3
ID,2919510,9.2019,"1200,84",1
ID,2919558,9.2019,"3602,52",3
ID,2919570,8.2019,"2238,84",1
ID,2919606,5.2019,"1226,76",1
ID,2919696,7.2019,"2257,26",1
ID,2919696,8.2019,"1223,34",1
ID,2919726,7.2019,"1202,04",1
ID,2919828,6.2019,"15588,00",25
ID,2919828,7.2019,"623,52",1
ID,2919828,9.2019,"1247,04",2
ID,2919960,6.2019,"2453,52",2
ID,2919960,7.2019,"1226,76",1
ID,2919960,8.2019,"1216,38",1
ID,2919960,9.2019,"1216,38",1
ID,2919978,9.2019,"2401,80",2
ID,2920104,8.2019,"6066,90",5
ID,2920104,9.2019,"1213,38",1
ID,2920620,8.2019,"3649,14",3
ID,2920710,6.2019,"1211,64",1
ID,2921010,6.2019,"1226,76",1
ID,2921436,6.2019,"1227,42",1
ID,2921484,8.2019,"1213,38",1
ID,2921682,7.2019,"1188,72",1
ID,2921904,7.2019,"648,30",1
ID,2921904,8.2019,"1216,98",1
ID,2922024,7.2019,"3671,58",3
ID,2922024,8.2019,"2426,76",2
ID,2922024,9.2019,"2400,00",2
ID,2922030,7.2019,"2452,32",4
ID,2922030,8.2019,"1200,84",1
ID,2922126,6.2019,"2496,00",4
ID,2922126,7.2019,"1231,92",2
ID,2922330,7.2019,"648,30",1
ID,2922378,7.2019,"7312,32",6
ID,2922474,8.2019,"6028,80",5
ID,2922474,6.2019,"2423,28",2
ID,2922474,9.2019,"2411,52",2
ID,2922492,6.2019,"554,04",2
ID,2922492,5.2019,"2401,68",2
ID,2922492,6.2019,"3602,52",3
ID,2922492,7.2019,"1200,84",1
ID,2922492,8.2019,"1200,84",1
ID,2922810,6.2019,"2264,76",1
ID,2922834,8.2019,"396,60",1
ID,2922834,7.2019,"277,02",1
ID,2922924,9.2019,"2258,16",1
ID,2923896,7.2019,"1091,52",1
ID,2924136,6.2019,"630,00",1
ID,2924136,7.2019,"644,82",1
ID,2924136,9.2019,"644,82",1
ID,2924136,6.2019,"4895,40",4
ID,2924136,7.2019,"1223,82",1
ID,2924136,8.2019,"1213,38",1
ID,2924334,7.2019,"1216,38",1
ID,2924550,6.2019,"1214,22",1
ID,2925012,6.2019,"1227,42",1
ID,2925540,7.2019,"2453,52",2
ID,2925744,9.2019,"1200,00",1
ID,2926062,7.2019,"648,30",1
ID,2926062,9.2019,"648,30",1
ID,2926062,9.2019,"1216,38",1
ID,2926164,7.2019,"1216,38",1
ID,2926206,9.2019,"1216,38",1
ID,2926206,8.2019,"2432,76",2
ID,2926290,9.2019,"2411,64",2
ID,2926458,6.2019,"644,82",1
ID,2927244,6.2019,"1226,76",1
ID,2927244,7.2019,"2443,14",2
ID,2927244,8.2019,"2432,76",2
ID,2927286,8.2019,"5539,20",20
ID,2927382,6.2019,"1944,90",3
ID,2927496,6.2019,"1226,76",1
ID,2927610,6.2019,"3902,82",1
ID,2927610,8.2019,"3734,40",1
ID,2927610,7.2019,"4454,16",2
ID,2927610,9.2019,"648,30",1
ID,2927610,9.2019,"1091,52",1
ID,2927610,7.2019,"4907,04",4
ID,2927610,8.2019,"4865,52",4
ID,2927610,9.2019,"2432,76",2
ID,2927760,8.2019,"4815,84",4
ID,2928342,6.2019,"1223,82",1
ID,2928342,8.2019,"7280,28",6
ID,2928468,6.2019,"2447,64",2
ID,2928810,6.2019,"5320,98",3
ID,2928924,8.2019,"1213,38",1
ID,2929050,8.2019,"648,30",1
ID,2930754,6.2019,"3566,16",3
ID,2930754,7.2019,"4754,88",4
ID,2930754,8.2019,"3566,16",3
ID,2931132,6.2019,"623,52",1
ID,2932062,6.2019,"3877,98",1
ID,2932074,8.2019,"644,82",1
ID,2932152,6.2019,"276,96",1
ID,2932836,5.2019,"631,26",1
ID,2933046,6.2019,"632,64",1
ID,2933046,8.2019,"2433,96",2
ID,2933250,8.2019,"2434,08",2
ID,2933604,7.2019,"644,76",1
ID,2933604,6.2019,"1247,04",2
ID,2933604,7.2019,"1214,22",1
ID,2933604,8.2019,"3611,82",3
ID,2934288,6.2019,"4909,68",4
ID,2934288,9.2019,"1216,98",1
ID,2934366,8.2019,"1216,98",1
ID,2934924,8.2019,"1934,46",3
ID,2934924,5.2019,"627,24",1
ID,2934960,7.2019,"648,30",1
ID,2934960,9.2019,"648,30",1
ID,2935860,7.2019,"1084,56",1
ID,2935860,8.2019,"1084,56",1
ID,2935860,9.2019,"1084,56",1
ID,2935860,6.2019,"1223,82",1
ID,2936472,7.2019,"1223,82",1
ID,2936484,6.2019,"2447,76",2
ID,2936484,7.2019,"1223,82",1
ID,2936484,8.2019,"2426,76",2
ID,2936484,9.2019,"1213,38",1
ID,2937192,8.2019,"1216,38",1
ID,2937246,9.2019,"5342,70",5
ID,2937312,7.2019,"6066,90",5
ID,2937600,8.2019,"1216,38",1
ID,2937600,6.2019,"4907,04",4
ID,2937960,6.2019,"1384,92",5
ID,2937966,5.2019,"1223,82",1
ID,2937966,8.2019,"1213,38",1
ID,2938026,9.2019,"2245,56",1
ID,2938326,7.2019,"1211,64",1
ID,2938344,5.2019,"623,52",1
ID,2938368,6.2019,"1289,64",2
ID,2938368,9.2019,"1934,46",3
