id+,days_since_purchase,frequency,revenue,log_days_since_purchase,log_frequency,log_revenue,Cluster_Prediction,segment
AF1915092,246,6,44712.00,5.51,1.95,10.71,2,may lose
AF1915452,267,1,19908.00,5.59,0.69,9.90,2,may lose
AF1918074,323,1,19428.00,5.78,0.69,9.87,2,may lose
AF1920168,120,1,12942.00,4.80,0.69,9.47,2,may lose
AF2137002,351,1,20994.00,5.86,0.69,9.95,2,may lose
AF2156910,141,3,85392.00,4.96,1.39,11.36,0,can not lose
AF2216760,169,3,39060.00,5.14,1.39,10.57,2,may lose
AF2480190,141,1,17256.00,4.96,0.69,9.76,2,may lose
AF2815722,36,3,78138.00,3.61,1.39,11.27,4,new customers with low buying ability
AF3301770,155,1,19764.00,5.05,0.69,9.89,2,may lose
AF3390108,267,1,32862.00,5.59,0.69,10.40,2,may lose
AF3408666,218,1,20484.00,5.39,0.69,9.93,2,may lose
AF3409638,330,2,23142.00,5.80,1.10,10.05,2,may lose
AF3411132,120,1,19764.00,4.80,0.69,9.89,2,may lose
AF3482490,15,7,565338.00,2.77,2.08,13.25,1,new customers with high buying ability
AF3746010,358,1,12918.00,5.88,0.69,9.47,2,may lose
AF3830808,29,1,20838.00,3.40,0.69,9.94,4,new customers with low buying ability
AF3894282,29,1,19764.00,3.40,0.69,9.89,4,new customers with low buying ability
AF4283280,148,1,13020.00,5.00,0.69,9.47,2,may lose
BD186044832,127,1,13878.00,4.85,0.69,9.54,2,may lose
BD186045222,148,1,12144.00,5.00,0.69,9.40,2,may lose
BD186045594,15,1,6594.00,2.77,0.69,8.79,4,new customers with low buying ability
BD186062922,50,1,11994.00,3.93,0.69,9.39,2,may lose
BD186093270,113,1,12144.00,4.74,0.69,9.40,2,may lose
BD2531340,15,14,467754.00,2.77,2.71,13.06,1,new customers with high buying ability
BD2532186,15,5,234204.00,2.77,1.79,12.36,1,new customers with high buying ability
BD2533044,316,1,285306.00,5.76,0.69,12.56,0,can not lose
BD2533500,113,1,121440.00,4.74,0.69,11.71,0,can not lose
BD2534070,218,1,12144.00,5.39,0.69,9.40,2,may lose
BD2534886,99,10,1834644.00,4.61,2.40,14.42,5,need bring back
BD2535708,169,1,20790.00,5.14,0.69,9.94,2,may lose
BD2535960,92,2,38166.00,4.53,1.10,10.55,2,may lose
BD2536170,316,2,51270.00,5.76,1.10,10.84,0,can not lose
BD2536524,309,1,79470.00,5.74,0.69,11.28,0,can not lose
BD2536650,85,2,48576.00,4.45,1.10,10.79,4,new customers with low buying ability
BD2537304,57,2,35400.00,4.06,1.10,10.47,4,new customers with low buying ability
BD2539146,337,1,15786.00,5.82,0.69,9.67,2,may lose
BD2539692,15,1,12264.00,2.77,0.69,9.41,4,new customers with low buying ability
BD2539800,295,1,12144.00,5.69,0.69,9.40,2,may lose
BD2541636,323,1,82206.00,5.78,0.69,11.32,0,can not lose
BD2542158,99,1,60720.00,4.61,0.69,11.01,0,can not lose
BD2542488,190,1,12144.00,5.25,0.69,9.40,2,may lose
BD2543208,8,1,15678.00,2.20,0.69,9.66,4,new customers with low buying ability
BD2543718,330,1,29010.00,5.80,0.69,10.28,2,may lose
BD2544252,330,2,516474.00,5.80,1.10,13.15,5,need bring back
BD2544300,225,1,13878.00,5.42,0.69,9.54,2,may lose
BD2544354,302,1,24288.00,5.71,0.69,10.10,2,may lose
BD2545200,106,2,83280.00,4.67,1.10,11.33,0,can not lose
